Item,Total Amount
Port Victoria,2165.09
Portland,2048.33
Portland-Dorset,415.33
Portofino,1599.29
Puerto Chacabuco,505.09
Puerto Limon,15294.59
Puerto Limón,2381.13
Puerto Madryn,505.09
Puerto Montt,505.09
Punta Arenas,505.09
Punta del Este,884.75
Qaqortoq,936.27
Rabaul,351.61
Rarotonga (Cook Island),351.61
Ravenna,52790.23
Recife,832.51
Reino Unido,1157.28
Reykjavik,24238.45
Reykjavík,1785.06
Riga,10055.52
Rio de Janeiro,4008.64
Roatán,983.8
Rodi,37930.41
Ronne,2876.18
Roseau,14515.72
Rotterdam,7831.7
Safaga,102786.84
Saint George's,14415.07
Saint John,698.75
Saint John's,11664.69
Saint John's (Antigua-et-Barbuda),453.56
Saint-Denis,505.09
Saint-Martin,453.56
Sainte Lucie,80.19
Salalah,1300.38
Salerno,4412.43
Salvador Bahia,2598.33
Samana,2057.33
San Juan,100989.43
San Pietroburgo,5206.62
San Sebastian (La Gomera),690.0
Santa Cruz de Tenerife,33778.57
Santa Cruz de la Palma,653.24
Santo Domingo,856.56
Santorin,746.89
Santorini,610693.95
Santos,1665.29
Savona,552199.84
Savone,2850.5
Scarborough,16447.49
Scenic Cruising Sognefjord,211.33
Scozia,2222.0
Seydisfjordur,2970.38
Sharm El Sheik,830.0
Sharm el-Sheij,230.77
Singapore,703.23
Siracusa,181283.37
Skjolden,473.0
Sokhna,53740.94
Southampton,21163.22
Spagna,567.26
Spalato,228791.64
Split,4809.54
St Peter Port,427.22
St Vincent & The Grenadines,24181.71
St. Croix,1669.25
St. John's,3017.94
St. Lucia,21981.19
St. Maarten,28503.82
St. Thomas,5212.38
Stavanger,66881.99
Stoccolma,28756.02
Stockholm,287.25
Suez,1029.09
Sydney,703.23
Sydney (Nuova Scozia),3266.69
Syracuse,1560.29
Sète,287.44
Taiwan (China),351.61
Tallin,46653.56
Tallinn,287.25
Tamatave,505.09
Tangeri,27116.96
Tolone,11842.33
Tolón,1441.17
Tortola,21640.54
Transito Canale Di Suez,2435.4
Trieste,342259.05
Tromso,29974.91
Tromsø,2717.14
Trondheim,35360.0
Tunisie,834.75
Tánger,719.0
Túnez,4884.0
USA,2315.95
Ushuaia,1010.18
Valence,3002.12
Valencia,555581.87
Venecia,36719.68
Venezia,538794.27
Venise,679.11
Vigo,2726.42
Vik i Sogn,439.0
Visby,4256.46
Volos,1017.08
Walvis Bay,505.09
Warnemunde,44021.22
Warnem�nde,2289.93
Wellington,351.61
Willemstad (Curaçao),296.71
Zadar,104014.41
Zante,19669.6
Zeebrugge,9294.45
Ámsterdam,1129.5
Åndalsnes,439.0
Ísafjörður,327.78
Îles Vierges,718.0
